Monte Carlo parameter values and performance measures
Model:	GaulaTest2
Region:	Gaula
Parameter:	PrecGrad	MaxIntDist	MaxIntStats	Tnugget	Tsill	Trange	Tzscale	PriSDtgrad	TX	PcorrRain	PcorrSnow	tvlow	ehgt	etmp	dveghgt	tvsum	esnw	ewnd	eprc	epcorr	laicap	Windscale	Windconst	MaxLWC	SurfaceLayer	Maxalbedo	Minalbedo	FastDecayRate	SlowDecayRate	ResetSnowDepth	GlacierAlb	BETA	LP	infcap	fieldcap	k2	k1	k0	perc	Rtreshold	lakep	PerfMeasure:	Temporal R2	Temporal R2	Temporal R2	Temporal R2	Temporal R2
Routine:	IDWPrec	IDWPrec;IDWHum;IDWrad;IDWWind	IDWPrec;IDWHum;IDWrad;IDWWind	BayesTkrig	BayesTkrig	BayesTkrig	BayesTkrig	BayesTkrig	PcorrMap2;GamSnow	PcorrMap2	PcorrMap2	HydraEP	HydraEP	HydraEP	HydraEP	HydraEP	HydraEP	HydraEP	HydraEP	HydraEP	HydraCanopy;HydraSoil	GamSnow	GamSnow	GamSnow	GamSnow	GamSnow	GamSnow	GamSnow	GamSnow	GamSnow	GamSnow	HydraSoil	HydraSoil	HydraSoil	HydraSoil	HBVResponse	HBVResponse	HBVResponse	HBVResponse	HBVResponse	HBVResponse	Test Data:	TotalRunoff	TotalRunoff	TotalRunoff	TotalRunoff	TotalRunoff
Distr:	Uniform	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Reference:	Qstats	Qstats	Qstats	Qstats	Qstats
Par 1:	5	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0	Start:	01.09.2000 00:00	01.09.2000 00:00	01.09.2000 00:00	01.09.2000 00:00	01.09.2000 00:00
Par 2:	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	End:	31.10.2000 00:00	31.10.2000 00:00	31.10.2000 00:00	31.10.2000 00:00	31.10.2000 00:00
Par 3:	5	0	0	0	0	0	0	-3.40282e+038	-3.40282e+038	0	0	0	-3.40282e+038	-3.40282e+038	-3.40282e+038	0	-3.40282e+038	-3.40282e+038	-3.40282e+038	-3.40282e+038	0	0	-3.40282e+038	0	0	0	0	0	0	0	0	-3.40282e+038	-3.40282e+038	0	0	-3.40282e+038	-3.40282e+038	-3.40282e+038	-3.40282e+038	-3.40282e+038	-3.40282e+038	Num Obs:	60	58	60	60	60
Par 4:	6	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	1	3.40282e+038	1	1	3.40282e+038	3.40282e+038	3.40282e+038	1	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	time/loc:	Gaulfoss local	Lillebudal Bru  	Hugdal Bru  	Eggafoss	Gaulfoss orig
0	5.5	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.598938	0.179419	0.612346	-0.778485	0.440094
1	5.51581	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.597761	0.17951	0.611716	-0.782725	0.438434
2	5.45017	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.602632	0.179112	0.614316	-0.764896	0.44533
3	5.46429	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.60159	0.179204	0.61377	-0.768738	0.443854
