Precipitation,Temperature,Radiation,Wind,Relative Humidity
3.469939e-05,3.1942567e-05,2.9779756e-05,3.392186e-05,2.6949496e-05
3.069332e-05,2.7825143e-05,2.5861522e-05,2.9625022e-05,2.4328168e-05
2.8843906e-05,2.5416424e-05,2.293235e-05,2.486594e-05,2.0633443e-05
2.9483494e-05,2.5690197e-05,2.2635522e-05,2.5098438e-05,2.1083048e-05
3.2536438e-05,2.813021e-05,2.4669576e-05,2.6484175e-05,2.2660879e-05
3.3571305e-05,2.9201372e-05,2.5802534e-05,2.7661135e-05,2.3620622e-05
3.1503838e-05,2.737365e-05,2.4076158e-05,2.5948324e-05,2.2214657e-05
3.6540965e-05,3.264306e-05,3.052723e-05,3.4441786e-05,2.7777085e-05
3.2425225e-05,3.0274332e-05,2.8716127e-05,3.398489e-05,2.7741016e-05
2.9317722e-05,2.6076425e-05,2.3706018e-05,2.698366e-05,2.2089374e-05
2.8902377e-05,2.6077358e-05,2.415399e-05,2.8602983e-05,2.3023402e-05
3.0613905e-05,2.7947845e-05,2.6502252e-05,3.0753472e-05,2.550416e-05
2.7582586e-05,2.4220402e-05,2.2996122e-05,2.6710532e-05,2.319274e-05
2.9244959e-05,2.5315092e-05,2.2211949e-05,2.375802e-05,2.0112602e-05
2.9325305e-05,2.5748688e-05,2.3404284e-05,2.559876e-05,2.2081975e-05
3.302132e-05,2.9186409e-05,2.690649e-05,3.0317164e-05,2.5957994e-05
3.1394102e-05,2.7346407e-05,2.5321706e-05,2.7519998e-05,2.3173377e-05
2.7210699e-05,2.3050809e-05,1.9971205e-05,2.1707396e-05,1.8448218e-05
2.6959104e-05,2.3613487e-05,1.9719908e-05,2.052299e-05,1.7909812e-05
2.8749677e-05,2.4953471e-05,2.1483418e-05,2.299077e-05,1.9972242e-05
3.8582457e-05,3.5455352e-05,3.2918142e-05,3.704611e-05,3.0160949e-05
3.0354178e-05,2.6779542e-05,2.3362465e-05,2.5516243e-05,2.0597874e-05
2.7249876e-05,2.4282823e-05,2.0587382e-05,2.2458502e-05,1.8195375e-05
2.758083e-05,2.4281424e-05,2.1195528e-05,2.3719422e-05,1.942065e-05
2.8485743e-05,2.4617313e-05,2.1699394e-05,2.3901966e-05,2.0863323e-05
3.233833e-05,2.822327e-05,2.4544037e-05,2.672333e-05,2.279181e-05
3.7096695e-05,3.2250922e-05,2.828928e-05,3.0308625e-05,2.5525813e-05
3.0802978e-05,2.6510383e-05,2.2865057e-05,2.4984669e-05,2.1686896e-05
2.7300195e-05,2.3341483e-05,2.035283e-05,2.2767528e-05,1.9649688e-05
3.0488061e-05,2.6783979e-05,2.3783403e-05,2.6266458e-05,2.2263599e-05
3.4242323e-05,2.9939018e-05,2.6869631e-05,2.9717232e-05,2.4978119e-05
3.2996344e-05,2.9490742e-05,2.656389e-05,2.944013e-05,2.4303898e-05
2.9362127e-05,2.5643509e-05,2.2420592e-05,2.510171e-05,2.0962621e-05
3.0312802e-05,2.727804e-05,2.4880052e-05,2.9210569e-05,2.4461713e-05
2.8364118e-05,2.4496763e-05,2.1896947e-05,2.433805e-05,2.0697868e-05
3.0910785e-05,2.682576e-05,2.3980703e-05,2.651417e-05,2.2645527e-05
3.48306e-05,3.0662803e-05,2.7458631e-05,2.9443645e-05,2.441829e-05
3.1961536e-05,2.8225348e-05,2.5818616e-05,3.0471982e-05,2.6227877e-05
3.007207e-05,2.6411533e-05,2.369518e-05,2.7202868e-05,2.3316306e-05
2.9148487e-05,2.4846871e-05,2.1697924e-05,2.4087542e-05,2.0493677e-05
3.4861223e-05,3.1123287e-05,2.7778917e-05,3.0262932e-05,2.5042666e-05
2.6290667e-05,2.2830622e-05,2.0140433e-05,2.2813112e-05,1.9432955e-05
3.2896594e-05,2.8919034e-05,2.5939575e-05,2.8393863e-05,2.379686e-05
3.3353062e-05,2.9642595e-05,2.711739e-05,2.9832736e-05,2.477773e-05
3.15903e-05,2.800493e-05,2.6068823e-05,2.8241157e-05,2.388851e-05
3.0979183e-05,2.7487482e-05,2.4739213e-05,2.7544142e-05,2.3338232e-05
2.7470494e-05,2.3256027e-05,2.037286e-05,2.1496866e-05,1.8656108e-05
