Precipitation,Temperature,Evaporation
4.5602765e-06,4.439472e-06,4.9928676e-06
4.7632016e-06,4.4423628e-06,5.4314132e-06
3.9857805e-06,3.8568005e-06,4.443204e-06
3.816106e-06,3.9445354e-06,4.9115715e-06
3.7687641e-06,3.992716e-06,4.9579626e-06
4.452497e-06,4.580405e-06,5.4379716e-06
4.090229e-06,4.2294932e-06,5.236271e-06
3.898439e-06,4.118781e-06,5.3880262e-06
3.4382804e-06,3.6882152e-06,4.8348306e-06
3.2884732e-06,3.5460248e-06,4.68712e-06
3.2757314e-06,3.607703e-06,4.6910195e-06
3.1379163e-06,3.3698404e-06,3.9375764e-06
3.1152972e-06,3.2927935e-06,3.8815324e-06
3.574468e-06,3.7983973e-06,4.627394e-06
3.907118e-06,3.965969e-06,4.7376634e-06
3.6569406e-06,3.7064085e-06,4.469356e-06
3.6057959e-06,3.7290513e-06,4.752742e-06
4.0205314e-06,4.1872518e-06,5.3199537e-06
3.3439894e-06,3.484287e-06,4.2706247e-06
3.0696324e-06,3.1651798e-06,3.9899073e-06
3.401934e-06,3.6092758e-06,4.729086e-06
6.5993345e-06,6.6054754e-06,8.038018e-06
6.154737e-06,6.054277e-06,6.825177e-06
3.236914e-06,3.297088e-06,4.1595636e-06
2.8753918e-06,3.266822e-06,4.861949e-06
4.8695515e-06,5.103492e-06,6.738412e-06
7.324337e-06,7.1224904e-06,8.332083e-06
3.351517e-06,3.2913972e-06,3.909895e-06
2.7749406e-06,3.0696278e-06,4.3247574e-06
2.282723e-06,2.958869e-06,4.460696e-06
3.9048937e-06,4.1791754e-06,5.199879e-06
5.019537e-06,4.92406e-06,5.9950685e-06
3.835948e-06,3.7857924e-06,4.711095e-06
2.8023726e-06,3.129676e-06,4.346281e-06
2.798537e-06,3.5220178e-06,5.3013455e-06
4.3158793e-06,4.657607e-06,6.3124126e-06
3.5458531e-06,3.6641172e-06,4.806362e-06
2.8968614e-06,3.263675e-06,4.7221247e-06
2.6827652e-06,3.4360353e-06,5.521644e-06
3.1700433e-06,3.6535894e-06,5.3686776e-06
2.9245175e-06,3.2944513e-06,4.7618573e-06
2.5737063e-06,3.1640789e-06,4.997782e-06
2.760749e-06,3.3031363e-06,5.105513e-06
2.8421023e-06,3.2455118e-06,4.5079605e-06
2.8745094e-06,3.3373362e-06,4.823132e-06
2.8238676e-06,3.313279e-06,5.1166053e-06
2.6657028e-06,3.020546e-06,4.225464e-06
2.7643866e-06,3.2224543e-06,4.870038e-06
3.0340725e-06,3.5104429e-06,5.349547e-06
2.7766387e-06,3.180668e-06,4.620021e-06
2.338415e-06,2.90602e-06,4.427167e-06
2.2066752e-06,2.8199925e-06,4.4683366e-06
2.5655038e-06,3.0833173e-06,4.7419903e-06
2.8420548e-06,3.3983029e-06,5.1049096e-06
3.7775949e-06,4.2684937e-06,6.149402e-06
3.3705032e-06,3.8355856e-06,5.493053e-06
1.991289e-06,2.6888579e-06,4.4345943e-06
1.7755322e-06,2.604929e-06,4.620998e-06
2.1846895e-06,2.8757552e-06,4.6257574e-06
2.6536145e-06,3.1819018e-06,4.7550297e-06
2.880802e-06,3.4802222e-06,5.3719045e-06
3.6919223e-06,4.405586e-06,6.7891524e-06
1.5963233e-06,2.3972657e-06,4.26037e-06
1.2552059e-06,2.070215e-06,4.035549e-06
9.929934e-07,2.0638577e-06,4.4595627e-06
2.537462e-06,3.2720222e-06,5.4731913e-06
2.1803128e-06,2.672638e-06,4.209337e-06
1.559064e-06,2.1491996e-06,3.811405e-06
2.7193023e-06,3.3794145e-06,5.5850032e-06
1.4488838e-06,2.1923697e-06,3.737829e-06
1.9057858e-06,2.3742225e-06,3.698396e-06
2.9205905e-06,3.4877717e-06,5.3764024e-06
2.52849e-06,3.1262528e-06,4.842848e-06
2.1731655e-06,2.6458208e-06,3.890405e-06
1.7357073e-06,2.3270943e-06,3.860354e-06
1.7868599e-06,2.4145113e-06,4.108392e-06
3.2227413e-06,3.6827412e-06,5.2944556e-06
3.0660444e-06,3.434427e-06,4.6834184e-06
4.166437e-06,4.5045635e-06,6.324476e-06
1.5833309e-06,2.239818e-06,3.642202e-06
1.6503388e-06,2.3733633e-06,3.8712865e-06
1.974952e-06,2.633707e-06,4.1936787e-06
3.0368003e-06,3.4536693e-06,4.9625082e-06
4.0210894e-06,4.2215574e-06,5.775066e-06
4.251492e-06,4.54459e-06,6.0247794e-06
1.983662e-06,2.4765243e-06,3.945471e-06
3.535291e-06,4.1681096e-06,6.2627028e-06
1.8866491e-06,2.530701e-06,3.9852666e-06
2.5481816e-06,2.8921438e-06,4.1320213e-06
2.2928953e-06,2.7371966e-06,4.2020365e-06
4.103104e-06,4.389821e-06,5.8111914e-06
3.0620176e-06,3.33628e-06,4.580822e-06
2.9364246e-06,3.2981818e-06,4.601507e-06
2.318979e-06,2.7853732e-06,4.212162e-06
2.6700336e-06,3.0792762e-06,4.3426267e-06
3.5658493e-06,3.7119285e-06,4.7170297e-06
3.229963e-06,3.3236697e-06,4.3358295e-06
3.9005595e-06,4.146491e-06,5.726737e-06
2.9898556e-06,3.308805e-06,4.412579e-06
3.1078337e-06,3.3221454e-06,4.3598216e-06
2.9514176e-06,3.3440865e-06,4.877938e-06
3.6436718e-06,3.8995013e-06,5.2587975e-06
4.0108184e-06,4.1297526e-06,5.4197276e-06
3.4812906e-06,3.710747e-06,4.933824e-06
3.1121203e-06,3.4631237e-06,4.984685e-06
3.081944e-06,3.6220622e-06,5.369505e-06
3.3308315e-06,3.6821789e-06,5.0788553e-06
3.3012461e-06,3.491276e-06,4.6965833e-06
4.0974705e-06,4.172026e-06,5.6553777e-06
3.3673218e-06,3.5920348e-06,4.772301e-06
5.2231912e-06,5.297306e-06,6.488079e-06
5.8536843e-06,5.902445e-06,7.2266507e-06
4.847284e-06,5.065309e-06,6.215e-06
2.8747559e-06,3.1983632e-06,4.3300793e-06
2.6937769e-06,3.3044337e-06,4.8689035e-06
3.2180565e-06,3.6851857e-06,5.262506e-06
3.6509002e-06,3.8234484e-06,5.0639937e-06
3.3017052e-06,3.5942235e-06,5.110749e-06
4.339414e-06,4.6277514e-06,6.32179e-06
3.8207263e-06,3.991577e-06,5.4206e-06
5.128605e-06,5.1400575e-06,6.871768e-06
5.1636707e-06,5.357316e-06,6.907407e-06
3.3644785e-06,3.6368135e-06,5.121083e-06
1.573997e-06,1.7513041e-06,2.8472828e-06
6.336703e-06,6.4094384e-06,9.041694e-06
3.968619e-06,4.0490895e-06,4.950917e-06
5.0390045e-06,5.0730346e-06,6.546172e-06
2.2885042e-06,2.4280102e-06,3.5933106e-06
4.5493234e-06,4.651574e-06,6.28208e-06
3.719479e-06,3.5836742e-06,4.4050266e-06
2.553536e-06,2.5590255e-06,3.2420298e-06
2.5834229e-06,2.5829047e-06,3.4209893e-06
3.7730097e-06,3.7205057e-06,5.054677e-06
9.949274e-06,9.494571e-06,1.0891911e-05
6.5349277e-06,6.3018715e-06,6.699052e-06
2.0067496e-06,2.047263e-06,2.2427096e-06
2.8448812e-06,3.1307063e-06,4.2804886e-06
5.7781617e-06,5.881642e-06,7.2550843e-06
8.881158e-06,8.530471e-06,9.03592e-06
3.4312848e-06,3.2830358e-06,3.4888708e-06
2.547514e-06,2.768826e-06,3.7532452e-06
4.6138834e-06,4.907979e-06,7.933106e-06
6.7469664e-06,6.8050635e-06,8.6897835e-06
5.642594e-06,5.7049265e-06,6.881282e-06
6.639823e-07,8.274754e-07,1.1669803e-06
