Precipitation,Temperature,Evaporation
1.1240404e-07,2.2445825e-07,2.2956135e-07
1.1692737e-07,2.3417178e-07,2.740123e-07
1.1509892e-07,2.2874467e-07,2.3748794e-07
1.10688276e-07,2.380722e-07,2.4765728e-07
1.06605356e-07,2.3832058e-07,2.4349305e-07
1.0951344e-07,2.5565078e-07,2.6069037e-07
1.0323039e-07,2.5424106e-07,2.6245584e-07
1.0232274e-07,2.5329564e-07,2.7264372e-07
9.111284e-08,2.2538688e-07,2.5456046e-07
8.956842e-08,2.1695351e-07,2.439158e-07
1.07985144e-07,2.3416749e-07,2.4541322e-07
1.17141056e-07,2.2968807e-07,2.2795493e-07
1.1652603e-07,2.2423396e-07,2.2442653e-07
1.1728507e-07,2.3836022e-07,2.3994303e-07
1.1379357e-07,2.2630302e-07,2.368757e-07
1.013956e-07,2.142322e-07,2.3220073e-07
9.906173e-08,2.1749625e-07,2.3917568e-07
9.803317e-08,2.2183039e-07,2.5184275e-07
1.0549756e-07,2.1816729e-07,2.3672003e-07
1.04349795e-07,2.0470297e-07,2.2565318e-07
1.1512931e-07,2.2231544e-07,2.393146e-07
1.0471466e-07,2.5313065e-07,3.2030056e-07
1.10325495e-07,2.4373676e-07,3.1037825e-07
1.3582783e-07,2.4149563e-07,2.7184316e-07
1.3567147e-07,2.4849726e-07,2.7533528e-07
1.09981706e-07,2.3604835e-07,3.0003653e-07
1.246186e-07,2.6266815e-07,3.4488158e-07
1.5645003e-07,2.668116e-07,2.8684067e-07
1.4996408e-07,2.6007766e-07,2.8115403e-07
1.4495211e-07,2.5958377e-07,2.7066434e-07
1.419327e-07,2.6046447e-07,2.6471452e-07
1.4972969e-07,2.850658e-07,3.0036324e-07
1.3758503e-07,2.6179663e-07,2.8120908e-07
1.1682133e-07,2.3142786e-07,2.480462e-07
-8.0652546e-07,8.76983e-07,2.0766279e-06
1.4619302e-07,3.8917452e-07,4.645076e-07
1.322027e-07,2.7028068e-07,2.9413565e-07
1.0653007e-07,2.3250759e-07,2.6734668e-07
3.8537533e-07,9.977936e-07,1.4327286e-06
5.7298656e-08,1.7954376e-07,2.231128e-07
1.0649593e-07,2.391445e-07,2.8047594e-07
1.0339041e-07,2.4661142e-07,2.849228e-07
