Simulated output from ENKI model framework
Region:	Gaula
Input:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Gaula\DailyPointInputMet.nc
Output:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Gaula\Output.nc
Parameter dim index:	0
LeadTime dim index:	0
Ensemble dim index:	0
Spatial point index:	2
Created on:	2025-06-12 18:24
Variable:	Qstats_3	SimDischarge
	Reference	0
Missing:		-99
01.09.1999 00:00	11.01	0.388936
02.09.1999 00:00	12.2	0.394383
03.09.1999 00:00	9.83	0.390895
04.09.1999 00:00	6.93	0.387554
05.09.1999 00:00	5.6	0.380358
06.09.1999 00:00	4.65	0.373443
07.09.1999 00:00	4	0.395497
08.09.1999 00:00	8.94	0.417043
09.09.1999 00:00	6.86	0.412906
10.09.1999 00:00	5.54	0.405524
11.09.1999 00:00	4.62	0.396652
12.09.1999 00:00	3.82	0.388522
13.09.1999 00:00	3.29	0.381057
14.09.1999 00:00	2.91	0.374181
15.09.1999 00:00	2.74	0.379047
16.09.1999 00:00	3.12	0.385794
17.09.1999 00:00	5	0.417928
18.09.1999 00:00	11.76	0.418154
19.09.1999 00:00	7.82	0.411338
20.09.1999 00:00	5.76	0.403304
21.09.1999 00:00	4.69	0.395898
22.09.1999 00:00	4.19	0.389764
23.09.1999 00:00	3.8	0.384317
24.09.1999 00:00	3.59	0.380639
25.09.1999 00:00	3.4	0.381811
26.09.1999 00:00	3.65	0.424214
27.09.1999 00:00	4.91	0.94031
28.09.1999 00:00	12.28	1.12406
29.09.1999 00:00	8.64	0.812832
30.09.1999 00:00	6.67	0.602847
01.10.1999 00:00	5.64	0.531826
02.10.1999 00:00	5.28	2.53459
03.10.1999 00:00	18.99	4.03443
04.10.1999 00:00	14.09	3.34327
05.10.1999 00:00	12.22	2.62362
06.10.1999 00:00	9.67	1.99273
07.10.1999 00:00	7.78	1.52056
08.10.1999 00:00	7.77	3.26982
09.10.1999 00:00	9.82	5.20477
10.10.1999 00:00	10.99	5.62891
11.10.1999 00:00	11.52	5.42815
12.10.1999 00:00	10.81	11.7611
13.10.1999 00:00	35.96	18.7034
14.10.1999 00:00	24.45	16.9824
15.10.1999 00:00	28.54	14.5687
16.10.1999 00:00	18.4	12.1199
17.10.1999 00:00	13.29	11.5758
18.10.1999 00:00	21.78	11.1064
19.10.1999 00:00	16.02	9.27267
20.10.1999 00:00	10.74	7.62558
21.10.1999 00:00	8.07	6.20415
22.10.1999 00:00	6.97	4.99007
23.10.1999 00:00	6.64	4.0395
24.10.1999 00:00	6.71	4.07286
25.10.1999 00:00	7.77	4.15181
26.10.1999 00:00	9.11	5.38449
27.10.1999 00:00	15.01	9.20753
28.10.1999 00:00	11.89	15.3733
29.10.1999 00:00	13.3	17.6145
30.10.1999 00:00	13.81	14.4677
31.10.1999 00:00	31.9	12.1089
01.11.1999 00:00	24.42	13.0177
02.11.1999 00:00	28.9	13.7834
03.11.1999 00:00	21.1	12.1123
04.11.1999 00:00	17.35	10.5313
05.11.1999 00:00	22.67	8.76603
06.11.1999 00:00	19.16	7.24669
07.11.1999 00:00	13.7	5.94003
08.11.1999 00:00	11.28	5.44004
09.11.1999 00:00	9.63	6.34177
10.11.1999 00:00	8.53	7.88291
11.11.1999 00:00	32.69	10.3629
12.11.1999 00:00	67.27	13.0963
13.11.1999 00:00	42.73	17.3386
14.11.1999 00:00	21.91	18.7617
15.11.1999 00:00	16.66	16.8761
16.11.1999 00:00	14.05	15.5746
17.11.1999 00:00	10.55	13.4247
18.11.1999 00:00	9.34	11.8769
19.11.1999 00:00	8.98	10.616
20.11.1999 00:00	7.89	11.7046
21.11.1999 00:00	10.22	12.4913
22.11.1999 00:00	15.01	12.7864
23.11.1999 00:00	11.44	13.0147
24.11.1999 00:00	10.01	11.4119
25.11.1999 00:00	17.56	10.716
26.11.1999 00:00	12.33	9.83418
27.11.1999 00:00	12.35	8.90538
28.11.1999 00:00	9.1	14.6073
29.11.1999 00:00	8.04	21.0047
30.11.1999 00:00	6.99	22.3056
01.12.1999 00:00	6.1	26.7802
02.12.1999 00:00	5.8	30.8172
03.12.1999 00:00	5.5	26.39
04.12.1999 00:00	5.2	27.3147
05.12.1999 00:00	4.95	29.0698
06.12.1999 00:00	4.7	26.5323
07.12.1999 00:00	4.45	24.7831
08.12.1999 00:00	4.21	21.6755
09.12.1999 00:00	3.97	20.2305
10.12.1999 00:00	3.72	19.002
11.12.1999 00:00	3.48	16.3446
12.12.1999 00:00	3.23	13.8552
13.12.1999 00:00	3.23	11.7318
14.12.1999 00:00	3.52	9.90847
15.12.1999 00:00	4.09	8.5036
16.12.1999 00:00	4.66	9.35345
17.12.1999 00:00	4.66	15.8583
18.12.1999 00:00	4.09	23.6415
19.12.1999 00:00	3.9	31.7085
20.12.1999 00:00	3.7	34.0365
21.12.1999 00:00	3.52	28.1967
22.12.1999 00:00	3.51	22.9889
23.12.1999 00:00	3.5	19.5509
24.12.1999 00:00	3.49	16.641
25.12.1999 00:00	3.48	14.762
26.12.1999 00:00	3.47	15.9442
27.12.1999 00:00	3.29	16.2241
28.12.1999 00:00	3.17	13.7841
29.12.1999 00:00	3.06	11.6924
30.12.1999 00:00	2.95	9.90227
31.12.1999 00:00	2.83	9.36875
01.01.2000 00:00	2.31	8.85684
02.01.2000 00:00	1.93	7.474
03.01.2000 00:00	1.96	6.28334
04.01.2000 00:00	2.13	5.32871
05.01.2000 00:00	1.96	4.49926
06.01.2000 00:00	1.94	4.83379
07.01.2000 00:00	2.14	5.09244
08.01.2000 00:00	2.33	4.54876
09.01.2000 00:00	2.5	4.04116
10.01.2000 00:00	2.33	3.31393
11.01.2000 00:00	2.19	2.71812
12.01.2000 00:00	2.15	2.59959
13.01.2000 00:00	2.08	2.57101
14.01.2000 00:00	2.06	2.55261
15.01.2000 00:00	2.06	3.81598
16.01.2000 00:00	2.5	10.4959
17.01.2000 00:00	3.35	14.5825
18.01.2000 00:00	2.69	12.5344
19.01.2000 00:00	2.76	10.7573
20.01.2000 00:00	3.74	9.19965
21.01.2000 00:00	3.91	7.7547
22.01.2000 00:00	3.76	6.47644
23.01.2000 00:00	3.27	5.39838
24.01.2000 00:00	3.33	4.48512
25.01.2000 00:00	3.46	3.79518
26.01.2000 00:00	3.66	5.22363
27.01.2000 00:00	3.84	6.30437
28.01.2000 00:00	3.62	5.31645
29.01.2000 00:00	3.55	4.4905
30.01.2000 00:00	3.2	3.84201
31.01.2000 00:00	2.49	3.33438
01.02.2000 00:00	2.7	3.0186
02.02.2000 00:00	2.94	2.85979
03.02.2000 00:00	2.79	2.82653
04.02.2000 00:00	3.07	2.78688
05.02.2000 00:00	2.94	2.74336
06.02.2000 00:00	3.27	2.69984
07.02.2000 00:00	3.43	3.02961
08.02.2000 00:00	3.44	3.1139
09.02.2000 00:00	3.16	2.73217
10.02.2000 00:00	2.96	2.81955
11.02.2000 00:00	2.74	2.77509
12.02.2000 00:00	2.61	3.51328
13.02.2000 00:00	2.53	4.09803
14.02.2000 00:00	2.45	3.65298
15.02.2000 00:00	2.23	3.21223
16.02.2000 00:00	2.27	2.87753
17.02.2000 00:00	1.85	2.66419
18.02.2000 00:00	1.8	2.56915
19.02.2000 00:00	1.92	2.5224
20.02.2000 00:00	1.9	2.49888
21.02.2000 00:00	1.93	2.47361
22.02.2000 00:00	1.64	2.44485
23.02.2000 00:00	1.63	2.41446
24.02.2000 00:00	1.89	2.38339
25.02.2000 00:00	1.79	2.35363
26.02.2000 00:00	1.82	2.32603
27.02.2000 00:00	1.88	2.29929
28.02.2000 00:00	1.89	2.27143
29.02.2000 00:00	1.91	2.24356
01.03.2000 00:00	1.8	2.23506
02.03.2000 00:00	1.75	2.22934
03.03.2000 00:00	1.68	2.21764
04.03.2000 00:00	1.52	2.24301
05.03.2000 00:00	1.51	2.3004
06.03.2000 00:00	1.7	2.52022
07.03.2000 00:00	1.91	2.66333
08.03.2000 00:00	1.72	2.54194
09.03.2000 00:00	2.27	2.44764
10.03.2000 00:00	2.28	2.35069
11.03.2000 00:00	2.18	2.23375
12.03.2000 00:00	2.27	2.15547
13.03.2000 00:00	2.29	2.12671
14.03.2000 00:00	2.23	2.11592
15.03.2000 00:00	2.09	2.07448
16.03.2000 00:00	2.05	2.03999
17.03.2000 00:00	2.05	2.03775
18.03.2000 00:00	2.14	2.00265
19.03.2000 00:00	2.13	2.29108
20.03.2000 00:00	3.06	2.82761
21.03.2000 00:00	3.37	2.82573
22.03.2000 00:00	2.86	2.44012
23.03.2000 00:00	2.62	2.1838
24.03.2000 00:00	2.4	2.04455
25.03.2000 00:00	2.23	1.97846
26.03.2000 00:00	2.21	1.93342
27.03.2000 00:00	2.09	1.89876
28.03.2000 00:00	2.01	1.87819
29.03.2000 00:00	2.13	1.88719
30.03.2000 00:00	2.64	1.86089
31.03.2000 00:00	2.81	1.8403
01.04.2000 00:00	2.72	1.81872
02.04.2000 00:00	2.42	1.8009
03.04.2000 00:00	2.19	1.79104
04.04.2000 00:00	2.16	1.78082
05.04.2000 00:00	2.09	1.77827
06.04.2000 00:00	2.09	1.77046
07.04.2000 00:00	2.05	1.7453
08.04.2000 00:00	2.11	1.71821
09.04.2000 00:00	2.5	1.6928
10.04.2000 00:00	2.63	1.66876
11.04.2000 00:00	2.8	1.64647
12.04.2000 00:00	3.01	1.66544
13.04.2000 00:00	2.87	1.73804
14.04.2000 00:00	2.87	1.7634
15.04.2000 00:00	3.04	1.8265
16.04.2000 00:00	3.95	1.87658
17.04.2000 00:00	5.51	1.83582
18.04.2000 00:00	8.27	2.0266
19.04.2000 00:00	12.95	2.42903
20.04.2000 00:00	17.32	3.57628
21.04.2000 00:00	25.38	4.10883
22.04.2000 00:00	33.01	5.39573
23.04.2000 00:00	39.43	9.17164
24.04.2000 00:00	41.52	10.4597
25.04.2000 00:00	39.97	8.90578
26.04.2000 00:00	38.24	7.69573
27.04.2000 00:00	31.01	6.51631
28.04.2000 00:00	30.81	7.27035
29.04.2000 00:00	58.63	23.116
30.04.2000 00:00	99.8	53.0556
01.05.2000 00:00	123.14	73.8365
02.05.2000 00:00	134.16	83.3129
03.05.2000 00:00	133.3	74.5769
04.05.2000 00:00	117.33	62.8343
05.05.2000 00:00	103.06	55.643
06.05.2000 00:00	96.23	70.9526
07.05.2000 00:00	95.28	87.901
08.05.2000 00:00	101.44	91.2758
09.05.2000 00:00	119.79	114.863
10.05.2000 00:00	128.69	115.658
11.05.2000 00:00	100.82	83.0425
12.05.2000 00:00	68.06	55.4697
13.05.2000 00:00	66.94	63.7531
14.05.2000 00:00	90.24	99.0214
15.05.2000 00:00	102.86	125.559
16.05.2000 00:00	117.62	154.028
17.05.2000 00:00	144.88	202.761
18.05.2000 00:00	151.15	228.194
19.05.2000 00:00	120.61	209.97
20.05.2000 00:00	95.29	171.06
21.05.2000 00:00	72.24	133.548
22.05.2000 00:00	60.57	118.798
23.05.2000 00:00	59.33	110.213
24.05.2000 00:00	64.45	101.481
25.05.2000 00:00	70.69	95.6321
26.05.2000 00:00	49.42	88.8216
27.05.2000 00:00	41.16	86.7797
28.05.2000 00:00	60.79	84.0528
29.05.2000 00:00	60.75	79.111
30.05.2000 00:00	57.29	67.9194
31.05.2000 00:00	42.95	65.4952
01.06.2000 00:00	35.82	72.3506
02.06.2000 00:00	38.75	78.8502
03.06.2000 00:00	42.51	72.5274
04.06.2000 00:00	30.5	54.711
05.06.2000 00:00	25.58	45.8469
06.06.2000 00:00	24.7	45.3514
07.06.2000 00:00	27.52	49.8266
08.06.2000 00:00	30.37	47.2719
09.06.2000 00:00	27.5	47.4658
10.06.2000 00:00	37.14	54.5413
11.06.2000 00:00	47.86	60.3646
12.06.2000 00:00	39.29	60.436
13.06.2000 00:00	38.86	57.7104
14.06.2000 00:00	35.56	51.254
15.06.2000 00:00	24.85	42.7038
16.06.2000 00:00	26.17	40.2335
17.06.2000 00:00	24.44	39.153
18.06.2000 00:00	21.81	35.9778
19.06.2000 00:00	27.58	34.7055
20.06.2000 00:00	30.23	36.163
21.06.2000 00:00	35.11	46.1953
22.06.2000 00:00	52.65	64.9165
23.06.2000 00:00	71.76	80.5764
24.06.2000 00:00	68.26	76.4096
25.06.2000 00:00	43.26	57.3104
26.06.2000 00:00	34.79	50.5355
27.06.2000 00:00	59.76	63.6668
28.06.2000 00:00	67.98	61.5348
29.06.2000 00:00	44.45	44.6507
30.06.2000 00:00	38.12	37.8757
01.07.2000 00:00	34.46	41.9344
02.07.2000 00:00	31.34	49.661
03.07.2000 00:00	40.76	47.3372
04.07.2000 00:00	29.64	36.8421
05.07.2000 00:00	21.59	29.8767
06.07.2000 00:00	17.69	43.8244
07.07.2000 00:00	50.13	54.3791
08.07.2000 00:00	38.73	41.334
09.07.2000 00:00	27.84	31.9266
10.07.2000 00:00	19.84	27.8008
11.07.2000 00:00	17.81	25.6285
12.07.2000 00:00	21.32	29.6854
13.07.2000 00:00	26.67	51.2759
14.07.2000 00:00	75.52	60.4261
15.07.2000 00:00	39.24	46.2046
16.07.2000 00:00	29.62	38.1001
17.07.2000 00:00	36.71	32.1993
18.07.2000 00:00	24.81	26.9362
19.07.2000 00:00	22.34	34.7455
20.07.2000 00:00	62.62	38.0587
21.07.2000 00:00	30.38	29.6054
22.07.2000 00:00	19.56	25.244
23.07.2000 00:00	15.43	22.3608
24.07.2000 00:00	15.66	21.7098
25.07.2000 00:00	18.27	20.4849
26.07.2000 00:00	13.79	18.109
27.07.2000 00:00	10.37	16.2891
28.07.2000 00:00	8.57	14.5437
29.07.2000 00:00	7.1	12.8867
30.07.2000 00:00	6.13	11.3396
31.07.2000 00:00	5.61	9.8003
01.08.2000 00:00	5.31	8.44886
02.08.2000 00:00	4.71	8.44629
03.08.2000 00:00	4.74	10.8933
04.08.2000 00:00	6.15	15.5297
05.08.2000 00:00	8.43	17.7134
06.08.2000 00:00	8.91	26.5576
07.08.2000 00:00	41.92	51.251
08.08.2000 00:00	108.12	62.5113
09.08.2000 00:00	60.37	51.743
10.08.2000 00:00	27.34	35.6946
11.08.2000 00:00	26.95	39.0663
12.08.2000 00:00	30.22	39.2869
13.08.2000 00:00	19.26	27.5648
14.08.2000 00:00	13.9	23.2689
15.08.2000 00:00	23.17	32.9446
16.08.2000 00:00	25.79	44.4657
17.08.2000 00:00	21.14	39.5109
18.08.2000 00:00	20.75	40.7022
19.08.2000 00:00	22.09	36.6563
20.08.2000 00:00	14.94	30.5895
21.08.2000 00:00	14.96	29.3501
22.08.2000 00:00	18.44	25.9291
23.08.2000 00:00	16.31	26.3438
24.08.2000 00:00	23.31	26.814
25.08.2000 00:00	18.88	23.5783
26.08.2000 00:00	13.73	20.2553
27.08.2000 00:00	10.37	17.4106
28.08.2000 00:00	8.44	14.9565
29.08.2000 00:00	7.31	14.0935
30.08.2000 00:00	8.76	16.8695
31.08.2000 00:00	9.32	17.8969
01.09.2000 00:00	7.82	19.6245
02.09.2000 00:00	15.86	23.4126
03.09.2000 00:00	15.87	22.8219
04.09.2000 00:00	12.31	20.9111
05.09.2000 00:00	12.05	18.6525
06.09.2000 00:00	9.88	16.0376
07.09.2000 00:00	8.21	15.5906
08.09.2000 00:00	11.63	15.1363
09.09.2000 00:00	8.02	15.0513
10.09.2000 00:00	9.85	15.5997
11.09.2000 00:00	11.26	14.6782
12.09.2000 00:00	11.45	13.1211
13.09.2000 00:00	8.47	11.2425
14.09.2000 00:00	6.71	9.60818
15.09.2000 00:00	5.76	9.11245
16.09.2000 00:00	5.63	10.6779
17.09.2000 00:00	18.27	11.2528
18.09.2000 00:00	12.63	9.80974
19.09.2000 00:00	8.45	8.3854
20.09.2000 00:00	6.68	7.15632
