Simulated output from ENKI model framework
Region:	Gaula
Input:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Gaula\DailyPointInputMet.nc
Output:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Gaula\Output.nc
Parameter dim index:	0
LeadTime dim index:	0
Ensemble dim index:	0
Spatial point index:	3
Created on:	2025-06-12 18:24
Variable:	Qstats_4	SimDischarge
	Reference	0
Missing:		-99
01.09.1999 00:00	33.74	0.925779
02.09.1999 00:00	23.89	0.925731
03.09.1999 00:00	28.84	0.919835
04.09.1999 00:00	21.68	0.9142
05.09.1999 00:00	18.7	0.901714
06.09.1999 00:00	13.93	0.889644
07.09.1999 00:00	10.85	0.923814
08.09.1999 00:00	14.02	0.954254
09.09.1999 00:00	24.69	0.94861
10.09.1999 00:00	17.23	0.93677
11.09.1999 00:00	13.57	0.92145
12.09.1999 00:00	10.32	0.907064
13.09.1999 00:00	8.46	0.893548
14.09.1999 00:00	6.93	0.880856
15.09.1999 00:00	5.82	0.887071
16.09.1999 00:00	6.31	0.89539
17.09.1999 00:00	5.2	0.907269
18.09.1999 00:00	3.01	0.915215
19.09.1999 00:00	15.92	0.901794
20.09.1999 00:00	10.96	0.888255
21.09.1999 00:00	8.35	0.875461
22.09.1999 00:00	6.68	0.864645
23.09.1999 00:00	6.19	0.856916
24.09.1999 00:00	5.52	0.848624
25.09.1999 00:00	5.17	0.844525
26.09.1999 00:00	4.83	0.874474
27.09.1999 00:00	4.51	1.24399
28.09.1999 00:00	14.1	1.32399
29.09.1999 00:00	21.5	1.09139
30.09.1999 00:00	16.11	1.04398
01.10.1999 00:00	12.86	1.02422
02.10.1999 00:00	9.88	5.05539
03.10.1999 00:00	30.8	8.15206
04.10.1999 00:00	39.6	7.11579
05.10.1999 00:00	30.02	5.81539
06.10.1999 00:00	28.37	4.26621
07.10.1999 00:00	22.46	3.23198
08.10.1999 00:00	19.45	5.66231
09.10.1999 00:00	28.02	8.15255
10.10.1999 00:00	28.44	8.32317
11.10.1999 00:00	29.82	7.97576
12.10.1999 00:00	26.35	20.9562
13.10.1999 00:00	100.48	34.2731
14.10.1999 00:00	64.5	31.5362
15.10.1999 00:00	63.79	27.076
16.10.1999 00:00	46.77	22.1412
17.10.1999 00:00	30.32	21.4754
18.10.1999 00:00	39.84	20.9303
19.10.1999 00:00	38.8	17.293
20.10.1999 00:00	27.62	13.9847
21.10.1999 00:00	21.09	11.1523
22.10.1999 00:00	16.32	8.8152
23.10.1999 00:00	15.54	7.33151
24.10.1999 00:00	17.96	7.58099
25.10.1999 00:00	24.22	7.70164
26.10.1999 00:00	22.68	10.0953
27.10.1999 00:00	45.02	17.9699
28.10.1999 00:00	43.95	34.0885
29.10.1999 00:00	59.93	41.55
30.10.1999 00:00	51.16	33.8886
31.10.1999 00:00	85.46	28.1922
01.11.1999 00:00	66.75	30.8027
02.11.1999 00:00	53.92	33.109
03.11.1999 00:00	54.07	28.7758
04.11.1999 00:00	38.98	24.6221
05.11.1999 00:00	34.73	20.4278
06.11.1999 00:00	39.96	16.8186
07.11.1999 00:00	28.92	13.7247
08.11.1999 00:00	24.72	12.8047
09.11.1999 00:00	23.53	14.6251
10.11.1999 00:00	23.5	16.4194
11.11.1999 00:00	19.27	19.2451
12.11.1999 00:00	84.25	24.3396
13.11.1999 00:00	85.68	35.4849
14.11.1999 00:00	57.86	40.2905
15.11.1999 00:00	34.29	36.1936
16.11.1999 00:00	31.04	31.9697
17.11.1999 00:00	24.64	26.9184
18.11.1999 00:00	18.91	23.3209
19.11.1999 00:00	17.85	20.2887
20.11.1999 00:00	16.52	23.143
21.11.1999 00:00	22.37	25.5018
22.11.1999 00:00	49.98	29.2911
23.11.1999 00:00	39.95	32.6398
24.11.1999 00:00	31.07	29.4144
25.11.1999 00:00	50.15	28.667
26.11.1999 00:00	41.26	26.8271
27.11.1999 00:00	31.95	24.3811
28.11.1999 00:00	31	36.762
29.11.1999 00:00	28.73	52.2727
30.11.1999 00:00	22.7	59.7541
01.12.1999 00:00	24.49	76.8134
02.12.1999 00:00	20.07	86.8216
03.12.1999 00:00	19.11	71.6317
04.12.1999 00:00	8.8	75.2138
05.12.1999 00:00	13.07	80.6518
06.12.1999 00:00	14.51	68.3762
07.12.1999 00:00	13.8	60.4153
08.12.1999 00:00	19.33	52.7907
09.12.1999 00:00	15.54	48.4226
10.12.1999 00:00	13.32	44.4729
11.12.1999 00:00	7.28	38.1698
12.12.1999 00:00	4.16	32.3201
13.12.1999 00:00	5.3	27.4783
14.12.1999 00:00	8.62	23.3225
15.12.1999 00:00	13.98	19.81
16.12.1999 00:00	18.04	21.8691
17.12.1999 00:00	18.5	38.2744
18.12.1999 00:00	17.41	57.6544
19.12.1999 00:00	14.45	84.3527
20.12.1999 00:00	11.18	92.8622
21.12.1999 00:00	9.86	73.1328
22.12.1999 00:00	10.63	56.8954
23.12.1999 00:00	9.91	48.2395
24.12.1999 00:00	10.06	41.0545
25.12.1999 00:00	11.79	35.48
26.12.1999 00:00	10.88	36.9499
27.12.1999 00:00	10.82	37.3135
28.12.1999 00:00	10.83	31.6671
29.12.1999 00:00	10.92	26.8085
30.12.1999 00:00	10.93	22.6361
31.12.1999 00:00	10.9	21.6367
01.01.2000 00:00	11.5	20.6442
02.01.2000 00:00	10.61	20.5955
03.01.2000 00:00	11.31	22.0612
04.01.2000 00:00	12.17	20.9319
05.01.2000 00:00	12.44	18.0168
06.01.2000 00:00	11.85	17.9156
07.01.2000 00:00	11.65	18.2927
08.01.2000 00:00	7.11	16.7356
09.01.2000 00:00	8.31	14.8953
10.01.2000 00:00	8.1	12.502
11.01.2000 00:00	8.28	11.5398
12.01.2000 00:00	8.42	11.5436
13.01.2000 00:00	8.54	10.8613
14.01.2000 00:00	8.24	9.9819
15.01.2000 00:00	8.18	11.8047
16.01.2000 00:00	9.99	23.3241
17.01.2000 00:00	18.51	33.4281
18.01.2000 00:00	20.74	33.218
19.01.2000 00:00	18.01	32.2512
20.01.2000 00:00	19.93	29.5226
21.01.2000 00:00	19.94	22.8668
22.01.2000 00:00	16.34	18.0727
23.01.2000 00:00	13.53	14.9602
24.01.2000 00:00	16.31	12.7955
25.01.2000 00:00	15.81	11.1814
26.01.2000 00:00	17.18	15.4881
27.01.2000 00:00	20.75	18.7362
28.01.2000 00:00	20.07	15.9197
29.01.2000 00:00	17.9	13.9404
30.01.2000 00:00	16.42	12.3252
31.01.2000 00:00	11.84	10.5072
01.02.2000 00:00	7.5	9.34575
02.02.2000 00:00	7.31	8.61586
03.02.2000 00:00	11.62	8.09833
04.02.2000 00:00	14.77	7.92919
05.02.2000 00:00	14.83	7.88981
06.02.2000 00:00	14.78	7.63459
07.02.2000 00:00	19.77	8.68227
08.02.2000 00:00	21.49	9.41117
09.02.2000 00:00	19.48	8.41161
10.02.2000 00:00	17.4	9.0163
11.02.2000 00:00	16.14	9.23635
12.02.2000 00:00	14.91	10.4242
13.02.2000 00:00	14.41	11.2937
14.02.2000 00:00	14.27	9.90302
15.02.2000 00:00	13.3	8.65007
16.02.2000 00:00	12.89	7.73504
17.02.2000 00:00	9.25	7.09058
18.02.2000 00:00	7.82	6.64742
19.02.2000 00:00	3.32	6.36232
20.02.2000 00:00	0.37	6.18621
21.02.2000 00:00	-3.57	6.07456
22.02.2000 00:00	-9.54	5.98604
23.02.2000 00:00	-15.81	5.91161
24.02.2000 00:00	-11.85	5.8444
25.02.2000 00:00	-10.85	5.77899
26.02.2000 00:00	9.96	5.71624
27.02.2000 00:00	11.01	5.66851
28.02.2000 00:00	10.71	5.61575
29.02.2000 00:00	10.49	5.55424
01.03.2000 00:00	10.13	6.47456
02.03.2000 00:00	10.03	7.17044
03.03.2000 00:00	9.77	6.81305
04.03.2000 00:00	8.96	6.57098
05.03.2000 00:00	9.53	6.38531
06.03.2000 00:00	9.6	8.29446
07.03.2000 00:00	9.42	10.7234
08.03.2000 00:00	9.83	10.5768
09.03.2000 00:00	9.05	9.5065
10.03.2000 00:00	9.08	8.56478
11.03.2000 00:00	7.96	7.70171
12.03.2000 00:00	5.37	7.00635
13.03.2000 00:00	9.51	7.16699
14.03.2000 00:00	9.28	7.23449
15.03.2000 00:00	9.14	6.57494
16.03.2000 00:00	9.01	6.1884
17.03.2000 00:00	8.71	6.49186
18.03.2000 00:00	9.67	6.62813
19.03.2000 00:00	10.24	8.36484
20.03.2000 00:00	13.18	11.404
21.03.2000 00:00	18.39	12.1498
22.03.2000 00:00	20.26	10.9548
23.03.2000 00:00	18.72	9.54705
24.03.2000 00:00	17.09	8.40495
25.03.2000 00:00	15.36	7.53851
26.03.2000 00:00	14.45	6.87988
27.03.2000 00:00	13.84	6.34253
28.03.2000 00:00	12.96	6.1453
29.03.2000 00:00	13.08	6.14844
30.03.2000 00:00	15.65	5.82934
31.03.2000 00:00	20.82	6.04031
01.04.2000 00:00	22.91	6.08776
02.04.2000 00:00	21.64	5.59855
03.04.2000 00:00	19.32	5.2834
04.04.2000 00:00	17.06	5.09698
05.04.2000 00:00	15.56	4.97113
06.04.2000 00:00	14.48	4.91647
07.04.2000 00:00	12.86	4.82156
08.04.2000 00:00	13.58	4.69642
09.04.2000 00:00	16.42	4.62208
10.04.2000 00:00	19.73	4.56142
11.04.2000 00:00	21.94	4.51224
12.04.2000 00:00	23.44	4.84081
13.04.2000 00:00	23.36	5.42727
14.04.2000 00:00	21.89	5.87963
15.04.2000 00:00	21.75	7.21561
16.04.2000 00:00	24.76	8.43329
17.04.2000 00:00	33.69	8.75196
18.04.2000 00:00	41.12	10.5856
19.04.2000 00:00	66.84	15.4867
20.04.2000 00:00	93.76	22.9447
21.04.2000 00:00	112.54	25.217
22.04.2000 00:00	183.33	28.85
23.04.2000 00:00	208.7	42.8915
24.04.2000 00:00	218.62	49.8112
25.04.2000 00:00	170.52	44.8148
26.04.2000 00:00	142.35	36.517
27.04.2000 00:00	104.78	30.131
28.04.2000 00:00	108.15	35.3866
29.04.2000 00:00	198.74	93.3135
30.04.2000 00:00	340.87	204.113
01.05.2000 00:00	448.6	286.943
02.05.2000 00:00	429.48	293.258
03.05.2000 00:00	375.16	241.979
04.05.2000 00:00	267.12	195.986
