Simulated output from ENKI model framework
Region:	Gaula
Input:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Gaula\DailyPointInputMet.nc
Output:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Gaula\Output.nc
Parameter dim index:	0
LeadTime dim index:	0
Ensemble dim index:	0
Spatial point index:	1
Created on:	2025-06-12 18:24
Variable:	Qstats_2	SimDischarge
	Reference	0
Missing:		-99
01.09.1999 00:00	4.56	0.312197
02.09.1999 00:00	3.46	0.309983
03.09.1999 00:00	2.88	0.308034
04.09.1999 00:00	2.57	0.306297
05.09.1999 00:00	2.44	0.303658
06.09.1999 00:00	2.09	0.300637
07.09.1999 00:00	1.87	0.302546
08.09.1999 00:00	3.56	0.308249
09.09.1999 00:00	3.64	0.310456
10.09.1999 00:00	2.71	0.308875
11.09.1999 00:00	2.28	0.305858
12.09.1999 00:00	1.97	0.302814
13.09.1999 00:00	1.79	0.299801
14.09.1999 00:00	1.59	0.296832
15.09.1999 00:00	1.53	0.295887
16.09.1999 00:00	1.7	0.295665
17.09.1999 00:00	1.73	0.294454
18.09.1999 00:00	1.64	0.292995
19.09.1999 00:00	1.55	0.290552
20.09.1999 00:00	1.45	0.287661
21.09.1999 00:00	1.34	0.284799
22.09.1999 00:00	1.3	0.2821
23.09.1999 00:00	1.35	0.279498
24.09.1999 00:00	1.34	0.276822
25.09.1999 00:00	1.32	0.274576
26.09.1999 00:00	1.34	0.275695
27.09.1999 00:00	1.68	0.287593
28.09.1999 00:00	3.76	0.296069
29.09.1999 00:00	2.85	0.308251
30.09.1999 00:00	3.34	0.311739
01.10.1999 00:00	2.83	0.311807
02.10.1999 00:00	2.37	1.07623
03.10.1999 00:00	17.29	2.1533
04.10.1999 00:00	10.14	2.37281
05.10.1999 00:00	11.75	2.00442
06.10.1999 00:00	7.26	1.46359
07.10.1999 00:00	5.26	1.00611
08.10.1999 00:00	5.45	1.12886
09.10.1999 00:00	7.01	1.30704
10.10.1999 00:00	5.56	1.17147
11.10.1999 00:00	5.01	1.08725
12.10.1999 00:00	8.19	3.22201
13.10.1999 00:00	32.2	5.8454
14.10.1999 00:00	13.77	6.14329
15.10.1999 00:00	12.31	5.36304
16.10.1999 00:00	8.66	4.32164
17.10.1999 00:00	6.64	4.03239
18.10.1999 00:00	11.47	4.02218
19.10.1999 00:00	7.41	3.40349
20.10.1999 00:00	4.73	2.61877
21.10.1999 00:00	3.54	1.89756
22.10.1999 00:00	3.78	1.51512
23.10.1999 00:00	3.37	1.37555
24.10.1999 00:00	4.32	1.39333
25.10.1999 00:00	4.56	1.36832
26.10.1999 00:00	5.01	1.745
27.10.1999 00:00	7.58	3.18704
28.10.1999 00:00	10.47	6.59333
29.10.1999 00:00	20.81	8.73271
30.10.1999 00:00	15.84	7.81241
31.10.1999 00:00	19.15	6.43858
01.11.1999 00:00	12.31	6.7785
02.11.1999 00:00	14.42	7.66687
03.11.1999 00:00	10.73	7.02882
04.11.1999 00:00	8.78	5.85815
05.11.1999 00:00	8.37	4.78642
06.11.1999 00:00	7.2	3.85096
07.11.1999 00:00	5.44	3.05066
08.11.1999 00:00	4.84	2.75084
09.11.1999 00:00	5.08	3.02943
10.11.1999 00:00	5.36	3.36332
11.11.1999 00:00	7.87	3.53527
12.11.1999 00:00	11.52	4.33488
13.11.1999 00:00	13.92	7.14973
14.11.1999 00:00	10.1	10.1593
15.11.1999 00:00	7.86	10.4949
16.11.1999 00:00	6.95	9.07317
17.11.1999 00:00	3.7	7.60056
18.11.1999 00:00	6.06	6.51888
19.11.1999 00:00	5.39	5.55866
20.11.1999 00:00	4.88	5.81014
21.11.1999 00:00	12.49	6.53012
22.11.1999 00:00	16.23	8.24873
23.11.1999 00:00	10.14	10.6164
24.11.1999 00:00	10.05	10.7471
25.11.1999 00:00	14.49	10.4707
26.11.1999 00:00	10.29	9.9543
27.11.1999 00:00	9.5	8.91029
28.11.1999 00:00	7.77	11.7611
29.11.1999 00:00	6.91	16.7715
30.11.1999 00:00	6.04	21.0188
01.12.1999 00:00	5.89	27.1045
02.12.1999 00:00	5.88	34.2158
