Simulated output from ENKI model framework
Region:	Gaula
Input:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Gaula\DailyPointInputMet.nc
Output:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Gaula\Output.nc
Parameter dim index:	0
LeadTime dim index:	0
Ensemble dim index:	0
Spatial point index:	0
Created on:	2025-06-12 18:24
Variable:	Qstats_1	SimDischarge
	Reference	0
Missing:		-99
01.09.1999 00:00	2.88	0.0959801
02.09.1999 00:00	2.66	0.0954354
03.09.1999 00:00	2.12	0.0948048
04.09.1999 00:00	1.85	0.0941945
05.09.1999 00:00	1.65	0.0932897
06.09.1999 00:00	1.52	0.0923615
07.09.1999 00:00	1.44	0.0935349
08.09.1999 00:00	2.49	0.0950819
09.09.1999 00:00	1.9	0.0949014
10.09.1999 00:00	1.72	0.0943341
11.09.1999 00:00	1.53	0.0933998
12.09.1999 00:00	1.39	0.0924704
13.09.1999 00:00	1.32	0.0915503
14.09.1999 00:00	1.26	0.0906412
15.09.1999 00:00	1.36	0.0910347
16.09.1999 00:00	1.49	0.0915438
17.09.1999 00:00	1.39	0.0918084
18.09.1999 00:00	1.53	0.0920091
19.09.1999 00:00	1.4	0.0911619
20.09.1999 00:00	1.32	0.0902549
21.09.1999 00:00	1.26	0.0893568
22.09.1999 00:00	1.24	0.088572
23.09.1999 00:00	1.2	0.0878034
24.09.1999 00:00	1.2	0.0869435
25.09.1999 00:00	1.2	0.0864255
26.09.1999 00:00	1.3	0.0882694
27.09.1999 00:00	1.81	0.105312
28.09.1999 00:00	2.47	0.103908
29.09.1999 00:00	1.79	0.10102
30.09.1999 00:00	1.67	0.102237
01.10.1999 00:00	1.56	0.101871
02.10.1999 00:00	1.57	0.573058
03.10.1999 00:00	4.54	0.965195
04.10.1999 00:00	3.61	0.912241
05.10.1999 00:00	4.16	0.797276
06.10.1999 00:00	2.96	0.600646
07.10.1999 00:00	2.51	0.456648
08.10.1999 00:00	2.88	0.635192
09.10.1999 00:00	2.98	0.819993
10.10.1999 00:00	2.81	0.734596
11.10.1999 00:00	2.8	0.661956
12.10.1999 00:00	3.34	2.07893
13.10.1999 00:00	6.28	3.34552
14.10.1999 00:00	5.11	3.22877
15.10.1999 00:00	6.66	2.94428
16.10.1999 00:00	4.5	2.43906
17.10.1999 00:00	4.12	2.40312
18.10.1999 00:00	7.3	2.3816
19.10.1999 00:00	4.48	1.98336
20.10.1999 00:00	3.36	1.61316
21.10.1999 00:00	2.78	1.29502
22.10.1999 00:00	2.07	1.01566
23.10.1999 00:00	2.59	0.87467
