Available parameters:
Parameter ID: {'parameter': 0, 'parameterName': 'Nedbør', 'parameterNameEng': 'Precipitation', 'unit': 'mm'}
Parameter ID: {'parameter': 1000, 'parameterName': 'Vannstand', 'parameterNameEng': 'Stage', 'unit': 'm'}
Parameter ID: {'parameter': 1001, 'parameterName': 'Vannføring', 'parameterNameEng': 'Discharge', 'unit': 'm³/s'}
Parameter ID: {'parameter': 1002, 'parameterName': 'Vannhastighet', 'parameterNameEng': 'Water speed', 'unit': 'm/s'}
Parameter ID: {'parameter': 1003, 'parameterName': 'Vanntemperatur', 'parameterNameEng': 'Water temperature', 'unit': '°C'}
Parameter ID: {'parameter': 1004, 'parameterName': 'Magasinvolum', 'parameterNameEng': 'Reservoir volume', 'unit': 'millioner m³'}
Parameter ID: {'parameter': 1006, 'parameterName': 'Ledningsevne', 'parameterNameEng': 'Conductivity', 'unit': 'µS/cm'}
Parameter ID: {'parameter': 1007, 'parameterName': 'pH', 'parameterNameEng': 'pH', 'unit': 'pH'}
Parameter ID: {'parameter': 1012, 'parameterName': 'Overvannstand kraftverk', 'parameterNameEng': 'Head water level-hydropow.', 'unit': 'm'}
Parameter ID: {'parameter': 1200, 'parameterName': 'Konsentrasjon suspendert min. materiale', 'parameterNameEng': 'Concentration suspended (inorg.) sedim.', 'unit': 'mg/l'}
Parameter ID: {'parameter': 1208, 'parameterName': 'Konsentrasjon organisk materiale', 'parameterNameEng': 'Concentration of organic material', 'unit': 'mg/l'}
Parameter ID: {'parameter': 1215, 'parameterName': 'Turbiditet (Nepheometrisk)', 'parameterNameEng': 'Turbidity (Nephelometric)', 'unit': 'NTU'}
Parameter ID: {'parameter': 1216, 'parameterName': 'Turbiditet (Formazin)', 'parameterNameEng': 'Turbidity (Formazin)', 'unit': 'FTU'}
Parameter ID: {'parameter': 14, 'parameterName': 'Vindretning', 'parameterNameEng': 'Wind direction', 'unit': '°'}
Parameter ID: {'parameter': 15, 'parameterName': 'Vindhastighet', 'parameterNameEng': 'Wind speed', 'unit': 'm/s'}
Parameter ID: {'parameter': 17, 'parameterName': 'Lufttemperatur', 'parameterNameEng': 'Air temperature', 'unit': '°C'}
Parameter ID: {'parameter': 2, 'parameterName': 'Relativ luftfuktighet', 'parameterNameEng': 'Relative humidity', 'unit': '%'}
Parameter ID: {'parameter': 2000, 'parameterName': 'Grunnvannsnivå - Dyp under rørtopp', 'parameterNameEng': 'Groundwater - Depth from top pipe', 'unit': 'm'}
Parameter ID: {'parameter': 2001, 'parameterName': 'Markfuktighet', 'parameterNameEng': 'Soil water', 'unit': '%'}
Parameter ID: {'parameter': 2002, 'parameterName': 'Snødybde', 'parameterNameEng': 'Snow depth', 'unit': 'cm'}
Parameter ID: {'parameter': 2003, 'parameterName': 'Snøens vannekvivalent', 'parameterNameEng': 'Water equivalent of snow', 'unit': 'm'}
Parameter ID: {'parameter': 2005, 'parameterName': 'Poretrykk', 'parameterNameEng': 'Pore pressure', 'unit': 'Pa'}
Parameter ID: {'parameter': 2006, 'parameterName': 'Jordtemperatur', 'parameterNameEng': 'Soil temperature', 'unit': '°C'}
Parameter ID: {'parameter': 2015, 'parameterName': 'Grunnvannstemperatur', 'parameterNameEng': 'Ground water temperature', 'unit': '°C'}
Parameter ID: {'parameter': 2040, 'parameterName': 'Overflatetemperatur', 'parameterNameEng': 'Surface temperature', 'unit': '°C'}
Parameter ID: {'parameter': 4, 'parameterName': 'Lufttrykk ved målestedet', 'parameterNameEng': 'Air pressure', 'unit': 'Pa'}
