Simulated output from ENKI model framework
Region:	HBV snow/Stryn
Input:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Stryn\HBV snow\StrynInput.nc
Output:	C:\Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Stryn\HBV snow\StrynOutAttempt.nc
Parameter dim index:	0
LeadTime dim index:	0
Ensemble dim index:	0
Spatial point index:	0
Created on:	2025-06-10 15:17
Variable:	Qstats_6	SimDischarge
	Reference	0
Missing:		-99
01.01.1980 00:00	0.153	0
02.01.1980 00:00	0.153	0
03.01.1980 00:00	0.138	0
04.01.1980 00:00	0.138	0
05.01.1980 00:00	0.138	0
06.01.1980 00:00	0.124	0
07.01.1980 00:00	0.124	0
08.01.1980 00:00	0.124	9.81624e-005
09.01.1980 00:00	0.111	0.00028299
10.01.1980 00:00	0.111	0.000402086
11.01.1980 00:00	0.111	0.000420728
12.01.1980 00:00	0.996	0.000760593
13.01.1980 00:00	0.996	0.00139213
14.01.1980 00:00	0.996	0.00419715
15.01.1980 00:00	0.996	0.0113965
16.01.1980 00:00	0.996	0.0195082
17.01.1980 00:00	0.996	0.0255178
18.01.1980 00:00	0.996	0.0338001
19.01.1980 00:00	0.889	0.0360543
20.01.1980 00:00	0.889	0.0349436
21.01.1980 00:00	0.889	0.0337831
22.01.1980 00:00	0.889	0.0327702
23.01.1980 00:00	0.889	0.0319411
24.01.1980 00:00	0.889	0.0311101
25.01.1980 00:00	0.889	0.0303209
26.01.1980 00:00	0.889	0.0304892
27.01.1980 00:00	0.889	0.0347521
28.01.1980 00:00	0.889	0.0394704
29.01.1980 00:00	0.889	0.0407272
30.01.1980 00:00	0.79	0.0418642
31.01.1980 00:00	0.79	0.0422288
01.02.1980 00:00	0.79	0.0411862
02.02.1980 00:00	0.79	0.0408388
03.02.1980 00:00	0.79	0.0427265
04.02.1980 00:00	0.79	0.0464778
05.02.1980 00:00	0.79	0.0479252
06.02.1980 00:00	0.79	0.0467666
07.02.1980 00:00	0.79	0.0456119
08.02.1980 00:00	0.79	0.0444857
09.02.1980 00:00	0.79	0.0433874
10.02.1980 00:00	0.79	0.0423161
11.02.1980 00:00	0.701	0.0412714
12.02.1980 00:00	0.701	0.0404948
13.02.1980 00:00	0.701	0.0397557
14.02.1980 00:00	0.701	0.0411536
15.02.1980 00:00	0.701	0.044207
16.02.1980 00:00	0.701	0.0479571
17.02.1980 00:00	0.701	0.0498507
18.02.1980 00:00	0.701	0.0486005
19.02.1980 00:00	0.701	0.0472788
20.02.1980 00:00	0.701	0.0458662
21.02.1980 00:00	0.701	0.0445069
22.02.1980 00:00	0.619	0.0430948
23.02.1980 00:00	0.619	0.0415874
24.02.1980 00:00	0.619	0.0402415
25.02.1980 00:00	0.619	0.0391611
26.02.1980 00:00	0.619	0.0381942
27.02.1980 00:00	0.619	0.0372512
28.02.1980 00:00	0.79	0.0389999
29.02.1980 00:00	0.996	0.0439025
01.03.1980 00:00	0.996	0.0531516
02.03.1980 00:00	0.996	0.0613017
03.03.1980 00:00	0.889	0.06684
04.03.1980 00:00	0.889	0.0716226
05.03.1980 00:00	0.889	0.0734574
06.03.1980 00:00	0.889	0.0734608
07.03.1980 00:00	0.889	0.0716511
08.03.1980 00:00	0.79	0.0698821
09.03.1980 00:00	0.79	0.0681532
10.03.1980 00:00	0.79	0.0664252
11.03.1980 00:00	0.79	0.0647416
12.03.1980 00:00	0.79	0.0631385
13.03.1980 00:00	0.79	0.0615349
14.03.1980 00:00	0.701	0.0599335
15.03.1980 00:00	0.701	0.0584129
16.03.1980 00:00	0.701	0.05697
17.03.1980 00:00	0.701	0.0555621
18.03.1980 00:00	0.701	0.0541883
19.03.1980 00:00	0.619	0.0528497
20.03.1980 00:00	0.619	0.0522062
21.03.1980 00:00	0.619	0.0515875
22.03.1980 00:00	0.619	0.0503286
23.03.1980 00:00	0.619	0.049086
24.03.1980 00:00	0.545	0.0478741
25.03.1980 00:00	0.545	0.0466921
26.03.1980 00:00	0.545	0.0455386
27.03.1980 00:00	0.545	0.0443737
28.03.1980 00:00	0.545	0.0432174
29.03.1980 00:00	0.545	0.0420696
30.03.1980 00:00	0.545	0.0409105
31.03.1980 00:00	0.619	0.0410006
01.04.1980 00:00	0.619	0.0410968
02.04.1980 00:00	0.619	0.0398962
03.04.1980 00:00	0.619	0.0388317
04.04.1980 00:00	0.701	0.0388116
05.04.1980 00:00	0.701	0.0415386
06.04.1980 00:00	0.701	0.0433979
07.04.1980 00:00	0.701	0.0429388
08.04.1980 00:00	0.79	0.0459525
09.04.1980 00:00	0.996	0.0497124
10.04.1980 00:00	0.996	0.0527259
11.04.1980 00:00	0.153	0.061238
12.04.1980 00:00	0.187	0.0702074
13.04.1980 00:00	0.206	0.0780243
14.04.1980 00:00	0.206	0.0915342
15.04.1980 00:00	0.248	0.131979
16.04.1980 00:00	0.297	0.202699
17.04.1980 00:00	0.297	0.401724
18.04.1980 00:00	0.248	0.512341
19.04.1980 00:00	0.272	0.412457
20.04.1980 00:00	0.272	0.316482
21.04.1980 00:00	0.248	0.247204
22.04.1980 00:00	0.226	0.200963
23.04.1980 00:00	0.206	0.167953
24.04.1980 00:00	0.206	0.161505
25.04.1980 00:00	0.206	0.155683
26.04.1980 00:00	0.272	0.161161
27.04.1980 00:00	1.769	0.240975
28.04.1980 00:00	1.389	0.451515
29.04.1980 00:00	1.305	0.660122
30.04.1980 00:00	1.225	0.755715
01.05.1980 00:00	1.149	0.848697
02.05.1980 00:00	1.478	1.04203
03.05.1980 00:00	1.667	1.31668
04.05.1980 00:00	1.874	1.61803
05.05.1980 00:00	1.874	1.89484
06.05.1980 00:00	2.101	2.11962
07.05.1980 00:00	1.985	2.23437
08.05.1980 00:00	1.305	2.07099
09.05.1980 00:00	0.942	1.69634
10.05.1980 00:00	0.821	1.32562
11.05.1980 00:00	0.712	1.03808
12.05.1980 00:00	0.942	0.914875
13.05.1980 00:00	1.57	1.16435
14.05.1980 00:00	1.985	1.69826
15.05.1980 00:00	2.762	2.24262
16.05.1980 00:00	3.228	2.78148
17.05.1980 00:00	3.754	3.39819
18.05.1980 00:00	4.343	4.03486
19.05.1980 00:00	5.237	4.46
20.05.1980 00:00	4.774	4.50144
21.05.1980 00:00	4.343	4.22885
22.05.1980 00:00	3.572	3.65487
23.05.1980 00:00	2.911	2.91069
24.05.1980 00:00	3.228	2.63835
25.05.1980 00:00	4.14	3.23451
