Simulated output from ENKI model framework
Region:	HBV snow/Stryn
Input:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Stryn\HBV snow\StrynInput.nc
Output:	C:\Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Stryn\HBV snow\StrynOutAttempt.nc
Parameter dim index:	0
LeadTime dim index:	0
Ensemble dim index:	0
Spatial point index:	1
Created on:	2025-06-10 15:17
Variable:	Qstats_5	SimDischarge
	Reference	0
Missing:		-99
01.01.1980 00:00	-99	0
02.01.1980 00:00	-99	0
03.01.1980 00:00	-99	0
04.01.1980 00:00	-99	0
05.01.1980 00:00	-99	0
06.01.1980 00:00	-99	0
07.01.1980 00:00	-99	0
08.01.1980 00:00	-99	0.00168362
09.01.1980 00:00	-99	0.00498269
10.01.1980 00:00	-99	0.00710737
11.01.1980 00:00	-99	0.00736399
12.01.1980 00:00	-99	0.00967911
13.01.1980 00:00	-99	0.0323197
14.01.1980 00:00	-99	0.358094
15.01.1980 00:00	-99	0.635166
16.01.1980 00:00	-99	0.736324
17.01.1980 00:00	-99	0.959337
18.01.1980 00:00	-99	1.75532
19.01.1980 00:00	-99	2.02284
20.01.1980 00:00	-99	1.5485
21.01.1980 00:00	-99	1.19761
22.01.1980 00:00	-99	0.936194
23.01.1980 00:00	-99	0.77706
24.01.1980 00:00	-99	0.688498
25.01.1980 00:00	-99	0.642875
26.01.1980 00:00	-99	0.637312
27.01.1980 00:00	-99	0.67566
28.01.1980 00:00	-99	0.711685
29.01.1980 00:00	-99	0.712769
30.01.1980 00:00	-99	0.720414
31.01.1980 00:00	-99	0.718908
01.02.1980 00:00	-99	0.701158
02.02.1980 00:00	-99	0.700946
03.02.1980 00:00	-99	0.726343
04.02.1980 00:00	-99	0.770583
05.02.1980 00:00	-99	0.788366
06.02.1980 00:00	-99	0.769396
07.02.1980 00:00	-99	0.750399
08.02.1980 00:00	-99	0.731872
09.02.1980 00:00	-99	0.713802
10.02.1980 00:00	-99	0.696178
11.02.1980 00:00	-99	0.679597
12.02.1980 00:00	-99	0.668846
13.02.1980 00:00	-99	0.658272
14.02.1980 00:00	-99	0.683721
15.02.1980 00:00	-99	1.13832
16.02.1980 00:00	-99	2.47779
17.02.1980 00:00	-99	3.1013
18.02.1980 00:00	-99	2.56625
19.02.1980 00:00	-99	2.40688
20.02.1980 00:00	-99	2.68644
21.02.1980 00:00	-99	2.55839
