network	Qstats	Qstats	Qstats	Qstats	Qstats	Qstats	Qstats	Qstats	Qstats	Qstats
name	Grasdøla	Strynsvatn	Glomsdøla	Erdaselva	Sunndøla	Strynevasssdaget	Strynevassdraget2	Grasdøla2	Skjerdingsdøla	Hjelledøla
STNR	88.15.0	88.11.0	A	B	C	D	E	F	G	H
point id	6	5	51	52	53	54	57	58	59	60
Missing	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
RefSystem	utm-33n	utm-33n	utm-33n	utm-33n	utm-33n	utm-33n	utm-33n	utm-33n	utm-33n	utm-33n
Catchment Area	34.20	497.00	39.5	80.5	66.5	60.4	36.1	2	3.6	236
Xcoord	94683	74334	85319	85751	89532	93237	93944	93962	93216	86466
Ycoord	6894729	6893688	6890359	6887838	6890002	6891097	6893783	6893745	6891129	6889962
Nobs	15378	15377	15378	15378	15378	15378	15378	15378	15378	15378
01.01.1980	0.153	-99	-99	-99	-99	-99	-99	-99	-99	-99
02.01.1980	0.153	-99	-99	-99	-99	-99	-99	-99	-99	-99
03.01.1980	0.138	-99	-99	-99	-99	-99	-99	-99	-99	-99
04.01.1980	0.138	-99	-99	-99	-99	-99	-99	-99	-99	-99
05.01.1980	0.138	-99	-99	-99	-99	-99	-99	-99	-99	-99
06.01.1980	0.124	-99	-99	-99	-99	-99	-99	-99	-99	-99
07.01.1980	0.124	-99	-99	-99	-99	-99	-99	-99	-99	-99
08.01.1980	0.124	-99	-99	-99	-99	-99	-99	-99	-99	-99
09.01.1980	0.111	-99	-99	-99	-99	-99	-99	-99	-99	-99
10.01.1980	0.111	-99	-99	-99	-99	-99	-99	-99	-99	-99
11.01.1980	0.111	-99	-99	-99	-99	-99	-99	-99	-99	-99
12.01.1980	0.996	-99	-99	-99	-99	-99	-99	-99	-99	-99
13.01.1980	0.996	-99	-99	-99	-99	-99	-99	-99	-99	-99
14.01.1980	0.996	-99	-99	-99	-99	-99	-99	-99	-99	-99
15.01.1980	0.996	-99	-99	-99	-99	-99	-99	-99	-99	-99
