Name	Linge	Juvvashøe	Balestrand	Sandane
Eier	Met.no	Met.no	NIBIO	Met.no
Point ID	22	23	24	25
Network	Rstats	Rstats	Rstats	Rstats
RefSystem	utm-33n	utm-33n	utm-33n	utm-33n
HOH	34	1894	15	51
Missing	-99	-99	-99	-99
Xcoord	96923	149452	45629	36019
Ycoord	6930553	6856141	6814892	6882033
				
01.01.1980	-99	-99	-99	-99
02.01.1980	-99	-99	-99	-99
03.01.1980	-99	-99	-99	-99
04.01.1980	-99	-99	-99	-99
05.01.1980	-99	-99	-99	-99
06.01.1980	-99	-99	-99	-99
07.01.1980	-99	-99	-99	-99
08.01.1980	-99	-99	-99	-99
09.01.1980	-99	-99	-99	-99
10.01.1980	-99	-99	-99	-99
11.01.1980	-99	-99	-99	-99
12.01.1980	-99	-99	-99	-99
13.01.1980	-99	-99	-99	-99
14.01.1980	-99	-99	-99	-99
15.01.1980	-99	-99	-99	-99
16.01.1980	-99	-99	-99	-99
17.01.1980	-99	-99	-99	-99
18.01.1980	-99	-99	-99	-99
19.01.1980	-99	-99	-99	-99
20.01.1980	-99	-99	-99	-99
21.01.1980	-99	-99	-99	-99
22.01.1980	-99	-99	-99	-99
23.01.1980	-99	-99	-99	-99
24.01.1980	-99	-99	-99	-99
25.01.1980	-99	-99	-99	-99
26.01.1980	-99	-99	-99	-99
27.01.1980	-99	-99	-99	-99
28.01.1980	-99	-99	-99	-99
29.01.1980	-99	-99	-99	-99
30.01.1980	-99	-99	-99	-99
31.01.1980	-99	-99	-99	-99
01.02.1980	-99	-99	-99	-99
02.02.1980	-99	-99	-99	-99
03.02.1980	-99	-99	-99	-99
04.02.1980	-99	-99	-99	-99
05.02.1980	-99	-99	-99	-99
06.02.1980	-99	-99	-99	-99
07.02.1980	-99	-99	-99	-99
08.02.1980	-99	-99	-99	-99
09.02.1980	-99	-99	-99	-99
10.02.1980	-99	-99	-99	-99
11.02.1980	-99	-99	-99	-99
12.02.1980	-99	-99	-99	-99
13.02.1980	-99	-99	-99	-99
14.02.1980	-99	-99	-99	-99
15.02.1980	-99	-99	-99	-99
16.02.1980	-99	-99	-99	-99
17.02.1980	-99	-99	-99	-99
18.02.1980	-99	-99	-99	-99
19.02.1980	-99	-99	-99	-99
20.02.1980	-99	-99	-99	-99
21.02.1980	-99	-99	-99	-99
22.02.1980	-99	-99	-99	-99
23.02.1980	-99	-99	-99	-99
24.02.1980	-99	-99	-99	-99
25.02.1980	-99	-99	-99	-99
26.02.1980	-99	-99	-99	-99
27.02.1980	-99	-99	-99	-99
28.02.1980	-99	-99	-99	-99
29.02.1980	-99	-99	-99	-99
01.03.1980	-99	-99	-99	-99
02.03.1980	-99	-99	-99	-99
03.03.1980	-99	-99	-99	-99
04.03.1980	-99	-99	-99	-99
05.03.1980	-99	-99	-99	-99
06.03.1980	-99	-99	-99	-99
07.03.1980	-99	-99	-99	-99
08.03.1980	-99	-99	-99	-99
09.03.1980	-99	-99	-99	-99
10.03.1980	-99	-99	-99	-99
11.03.1980	-99	-99	-99	-99
12.03.1980	-99	-99	-99	-99
13.03.1980	-99	-99	-99	-99
14.03.1980	-99	-99	-99	-99
15.03.1980	-99	-99	-99	-99
16.03.1980	-99	-99	-99	-99
17.03.1980	-99	-99	-99	-99
18.03.1980	-99	-99	-99	-99
19.03.1980	-99	-99	-99	-99
20.03.1980	-99	-99	-99	-99
21.03.1980	-99	-99	-99	-99
22.03.1980	-99	-99	-99	-99
23.03.1980	-99	-99	-99	-99
24.03.1980	-99	-99	-99	-99
25.03.1980	-99	-99	-99	-99
26.03.1980	-99	-99	-99	-99
27.03.1980	-99	-99	-99	-99
28.03.1980	-99	-99	-99	-99
29.03.1980	-99	-99	-99	-99
30.03.1980	-99	-99	-99	-99
31.03.1980	-99	-99	-99	-99
01.04.1980	-99	-99	-99	-99
02.04.1980	-99	-99	-99	-99
03.04.1980	-99	-99	-99	-99
04.04.1980	-99	-99	-99	-99
05.04.1980	-99	-99	-99	-99
06.04.1980	-99	-99	-99	-99
07.04.1980	-99	-99	-99	-99
08.04.1980	-99	-99	-99	-99
09.04.1980	-99	-99	-99	-99
10.04.1980	-99	-99	-99	-99
11.04.1980	-99	-99	-99	-99
12.04.1980	-99	-99	-99	-99
13.04.1980	-99	-99	-99	-99
14.04.1980	-99	-99	-99	-99
15.04.1980	-99	-99	-99	-99
16.04.1980	-99	-99	-99	-99
17.04.1980	-99	-99	-99	-99
18.04.1980	-99	-99	-99	-99
19.04.1980	-99	-99	-99	-99
20.04.1980	-99	-99	-99	-99
21.04.1980	-99	-99	-99	-99
22.04.1980	-99	-99	-99	-99
23.04.1980	-99	-99	-99	-99
24.04.1980	-99	-99	-99	-99
25.04.1980	-99	-99	-99	-99
26.04.1980	-99	-99	-99	-99
27.04.1980	-99	-99	-99	-99
28.04.1980	-99	-99	-99	-99
29.04.1980	-99	-99	-99	-99
30.04.1980	-99	-99	-99	-99
01.05.1980	-99	-99	-99	-99
02.05.1980	-99	-99	-99	-99
03.05.1980	-99	-99	-99	-99
04.05.1980	-99	-99	-99	-99
05.05.1980	-99	-99	-99	-99
06.05.1980	-99	-99	-99	-99
07.05.1980	-99	-99	-99	-99
08.05.1980	-99	-99	-99	-99
09.05.1980	-99	-99	-99	-99
10.05.1980	-99	-99	-99	-99
11.05.1980	-99	-99	-99	-99
12.05.1980	-99	-99	-99	-99
13.05.1980	-99	-99	-99	-99
14.05.1980	-99	-99	-99	-99
15.05.1980	-99	-99	-99	-99
16.05.1980	-99	-99	-99	-99
17.05.1980	-99	-99	-99	-99
18.05.1980	-99	-99	-99	-99
19.05.1980	-99	-99	-99	-99
20.05.1980	-99	-99	-99	-99
21.05.1980	-99	-99	-99	-99
22.05.1980	-99	-99	-99	-99
23.05.1980	-99	-99	-99	-99
24.05.1980	-99	-99	-99	-99
