Monte Carlo parameter values and performance measures
Model:	Stryn
Region:	Stryn
Parameter:	TempGard	MaxIntDist	MaxIntStats	PrecGrad	TX	PcorrRain	PcorrSnow	CX	CFR	TS	MaxLWC	SnowQ_00	SnowQ_25	SnowQ_50	SnowQ_75	SnowQ_100	FieldCap	LP	BETA	k2	k1	k0	perc	Rtreshold	lakep	PerfMeasure:	Temporal R2	Temporal R2
Routine:	IDWtemp	IDWtemp;IDWPrec;IDWEvap	IDWtemp;IDWPrec;IDWEvap	IDWPrec	PcorrMap2;HBVsnow	PcorrMap2	PcorrMap2	HBVsnow	HBVsnow	HBVsnow	HBVsnow	HBVsnow	HBVsnow	HBVsnow	HBVsnow	HBVsnow	HBVSoil	HBVSoil	HBVSoil	HBVResponse	HBVResponse	HBVResponse	HBVResponse	HBVResponse	HBVResponse	Test Data:	SimDischarge	SimDischarge
Distr:	Constant	Constant	Constant	Uniform	Uniform	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Constant	Reference:	Qstats	Qstats
Par 1:	0.5	50000	25	0	-2	1	1	3.5	0.1	-0.5	0.1	1.25	1.25	0.75	0.5	0.3	200	0.9	2	0.4	0.15	0.01	0.1	20	0	Start:	01.09.2000 00:00	01.09.2000 00:00
Par 2:	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	End:	06.03.2002 00:00	06.03.2002 00:00
Par 3:	-3.40282e+038	0	0	0	-2	0	0	0	0	-3.40282e+038	0	0	0	0	0	0	0	0	0	-3.40282e+038	-3.40282e+038	-3.40282e+038	-3.40282e+038	-3.40282e+038	-3.40282e+038	Num Obs:	551	344
Par 4:	3.40282e+038	3.40282e+038	3.40282e+038	10	2	3.40282e+038	3.40282e+038	3.40282e+038	1	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	1	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	time/loc:	Grasdøla	Strynsvatn
0	0.5	50000	25	0.5	-1	1	1	3.5	0.1	-0.5	0.1	1.25	1.25	0.75	0.5	0.3	200	0.9	2	0.4	0.15	0.01	0.1	20	0		-0.809041	-0.765924
1	0.5	50000	25	1.02066	0.619329	1	1	3.5	0.1	-0.5	0.1	1.25	1.25	0.75	0.5	0.3	200	0.9	2	0.4	0.15	0.01	0.1	20	0		-0.889633	-0.76533
2	0.5	50000	25	3.90812	1.11906	1	1	3.5	0.1	-0.5	0.1	1.25	1.25	0.75	0.5	0.3	200	0.9	2	0.4	0.15	0.01	0.1	20	0		-1.67909	-0.761164
3	0.5	50000	25	9.47372	1.8885	1	1	3.5	0.1	-0.5	0.1	1.25	1.25	0.75	0.5	0.3	200	0.9	2	0.4	0.15	0.01	0.1	20	0		-8.15323	-0.745257
4	0.5	50000	25	2.17676	1.48384	1	1	3.5	0.1	-0.5	0.1	1.25	1.25	0.75	0.5	0.3	200	0.9	2	0.4	0.15	0.01	0.1	20	0		-1.11447	-0.763859
5	0.5	50000	25	4.99003	0.347667	1	1	3.5	0.1	-0.5	0.1	1.25	1.25	0.75	0.5	0.3	200	0.9	2	0.4	0.15	0.01	0.1	20	0		-2.2255	-0.759056
6	0.5	50000	25	0.110999	1.78038	1	1	3.5	0.1	-0.5	0.1	1.25	1.25	0.75	0.5	0.3	200	0.9	2	0.4	0.15	0.01	0.1	20	0		-0.80301	-0.766312
7	0.5	50000	25	2.58735	0.878711	1	1	3.5	0.1	-0.5	0.1	1.25	1.25	0.75	0.5	0.3	200	0.9	2	0.4	0.15	0.01	0.1	20	0		-1.20717	-0.763289
8	0.5	50000	25	7.67098	-0.313142	1	1	3.5	0.1	-0.5	0.1	1.25	1.25	0.75	0.5	0.3	200	0.9	2	0.4	0.15	0.01	0.1	20	0		-4.81114	-0.751881
