0,1,2,3,4
33.74,2.88,4.5600000000000005,11.01,52.19
23.89,2.66,3.46,12.2,42.21
28.84,2.12,2.88,9.83,43.67
21.68,1.85,2.5700000000000003,6.93,33.03
18.7,1.65,2.44,5.6,28.39
13.93,1.52,2.09,4.65,22.19
10.85,1.44,1.87,4.0,18.16
14.02,2.49,3.56,8.94,29.01
24.69,1.9,3.64,6.86,37.09
17.23,1.72,2.71,5.54,27.2
13.57,1.53,2.2800000000000002,4.62,22.0
10.32,1.3900000000000001,1.97,3.8200000000000003,17.5
8.46,1.32,1.79,3.29,14.86
6.93,1.26,1.5899999999999999,2.91,12.69
5.82,1.3599999999999999,1.53,2.74,11.45
6.31,1.49,1.7000000000000002,3.12,12.62
5.2,1.3900000000000001,1.73,5.0,13.32
3.01,1.53,1.6400000000000001,11.76,17.94
15.92,1.4,1.55,7.82,26.69
10.96,1.32,1.45,5.76,19.49
8.35,1.26,1.34,4.69,15.64
6.68,1.24,1.3,4.19,13.41
6.19,1.2,1.35,3.8,12.54
5.52,1.2,1.34,3.59,11.65
5.17,1.2,1.32,3.4,11.09
4.83,1.3,1.34,3.65,11.12
4.51,1.81,1.6800000000000002,4.91,12.91
14.1,2.47,3.76,12.28,32.61
21.5,1.79,2.85,8.64,34.78
16.11,1.67,3.34,6.67,27.79
12.86,1.56,2.83,5.64,22.89
9.88,1.57,2.37,5.28,19.1
30.8,4.54,17.29,18.99,71.62
39.6,3.61,10.14,14.09,67.44
30.02,4.16,11.75,12.22,58.15
28.37,2.96,7.26,9.67,48.26
22.46,2.51,5.26,7.78,38.01
19.45,2.88,5.45,7.77,35.55
28.02,2.98,7.01,9.82,47.83
28.44,2.81,5.5600000000000005,10.99,47.8
29.82,2.8,5.01,11.52,49.15
26.35,3.34,8.19,10.81,48.69
100.48,6.28,32.2,35.96,174.92
64.5,5.11,13.77,24.45,107.83
63.79,6.66,12.31,28.54,111.3
46.77,4.5,8.66,18.4,78.33
30.32,4.12,6.64,13.29,54.37
39.84,7.3,11.47,21.78,80.39
38.8,4.48,7.41,16.02,66.71
27.62,3.36,4.73,10.74,46.45
21.09,2.7800000000000002,3.54,8.07,35.48
16.32,2.07,3.7800000000000002,6.97,29.14
15.54,2.59,3.37,6.64,28.14
17.96,3.15,4.32,6.71,32.14
24.22,3.27,4.5600000000000005,7.77,39.82
22.68,4.7,5.01,9.11,41.5
45.02,4.95,7.58,15.01,72.56
43.95,4.53,10.47,11.89,70.84
59.93,4.05,20.81,13.3,98.09
51.16,4.44,15.84,13.81,85.25
85.46,7.73,19.15,31.9,144.24
66.75,5.43,12.31,24.42,108.91
53.92,7.0,14.42,28.9,104.24
54.07,4.82,10.73,21.1,90.72
38.98,4.73,8.78,17.35,69.84
34.73,5.75,8.37,22.67,71.52
39.96,4.44,7.2,19.16,70.76
28.92,3.59,5.44,13.7,51.65
24.72,3.06,4.84,11.28,43.9
23.53,3.02,5.08,9.63,41.26
23.5,2.87,5.36,8.53,40.26
19.27,7.53,7.87,32.69,67.36
84.25,8.33,11.52,67.27,171.37
85.68,7.73,13.92,42.73,150.06
57.86,4.67,10.1,21.91,94.54
34.29,4.58,7.86,16.66,63.39
31.04,4.18,6.95,14.05,56.22
24.64,3.37,3.7,10.55,42.26
18.91,3.7800000000000002,6.06,9.34,38.09
17.85,3.69,5.39,8.98,35.91
16.52,3.83,4.88,7.89,33.12
22.37,7.51,12.49,10.22,52.59
49.98,7.15,16.23,15.01,88.37
39.95,4.25,10.14,11.44,65.78
31.07,4.09,10.05,10.01,55.22
50.15,4.97,14.49,17.56,87.17
41.26,3.67,10.29,12.33,67.55
31.95,3.47,9.5,12.35,57.27
31.0,2.83,7.77,9.1,50.7
28.73,2.79,6.91,8.04,46.47
22.7,3.0,6.04,6.99,38.73
24.49,3.13,5.89,6.1,39.61
20.07,3.25,5.88,5.8,35.0
19.11,3.35,5.31,5.5,33.27
8.8,4.29,4.93,5.2,23.22
13.07,5.04,6.97,4.95,30.03
14.51,5.18,7.4,4.7,31.79
13.8,5.14,7.99,4.45,31.38
19.33,5.29,-99.0,4.21,28.83
15.54,6.22,-99.0,3.9699999999999998,25.73
13.32,5.94,-99.0,3.7199999999999998,22.98
7.28,6.67,-99.0,3.48,17.43
4.16,5.8,-99.0,3.23,13.19
5.3,4.63,-99.0,3.23,13.16
8.62,4.13,-99.0,3.52,16.27
13.98,3.64,-99.0,4.09,21.71
18.04,3.24,-99.0,4.66,25.94
18.5,3.08,-99.0,4.66,26.24
17.41,3.2,-99.0,4.09,24.7
14.45,3.1,-99.0,3.9,21.45
11.18,2.88,-99.0,3.7,17.76
9.86,2.71,-99.0,3.52,16.09
10.63,2.48,-99.0,3.51,16.62
9.91,2.41,-99.0,3.5,15.82
10.06,2.54,-99.0,3.49,16.09
11.79,2.5,-99.0,3.48,17.77
10.88,2.6,-99.0,3.47,16.95
10.82,2.7,-99.0,3.29,16.81
10.83,2.35,-99.0,3.17,16.35
10.92,2.06,-99.0,3.06,16.04
10.93,1.85,-99.0,2.95,15.73
10.9,1.69,-99.0,2.83,15.42
11.5,1.6099999999999999,-99.0,2.31,15.42
10.61,1.5899999999999999,-99.0,1.9300000000000002,14.13
11.31,1.57,-99.0,1.96,14.84
12.17,1.52,-99.0,2.13,15.82
12.44,1.45,-99.0,1.96,15.85
11.85,1.38,-99.0,1.94,15.17
11.65,1.33,-99.0,2.14,15.12
7.11,1.31,5.16,2.33,15.91
8.31,1.23,4.32,2.5,16.36
8.1,1.2,4.38,2.33,16.01
8.28,1.2,4.14,2.19,15.81
8.42,1.16,3.56,2.15,15.29
8.54,1.1400000000000001,2.94,2.08,14.7
8.24,1.1400000000000001,2.79,2.06,14.23
8.18,1.1400000000000001,2.73,2.06,14.11
9.99,1.2,4.88,2.5,18.57
18.51,1.28,8.49,3.35,31.63
20.74,1.3599999999999999,6.01,2.69,30.8
18.01,1.51,4.96,2.76,27.24
19.93,1.56,5.88,3.74,31.11
19.94,1.6099999999999999,5.4,3.91,30.86
16.34,1.6099999999999999,6.36,3.76,28.07
13.53,1.47,7.94,3.27,26.21
16.31,1.4,4.52,3.33,25.56
15.81,1.4,4.14,3.46,24.81
17.18,1.4,4.29,3.66,26.53
20.75,1.4,4.5600000000000005,3.84,30.55
20.07,1.46,4.27,3.62,29.42
17.9,1.55,4.17,3.55,27.17
16.42,1.6,4.06,3.2,25.28
11.84,1.72,6.46,2.49,22.51
7.5,1.65,9.81,2.7,21.66
7.31,1.5899999999999999,10.0,2.94,21.84
11.62,1.49,5.96,2.79,21.86
14.77,1.46,3.8,3.07,23.1
14.83,1.46,3.62,2.94,22.85
14.78,1.6099999999999999,3.75,3.27,23.41
19.77,1.62,4.2,3.43,29.02
21.49,1.46,4.26,3.44,30.65
19.48,1.3599999999999999,4.13,3.16,28.13
17.4,1.31,4.04,2.96,25.71
16.14,1.26,3.84,2.74,23.98
14.91,1.26,3.66,2.61,22.44
14.41,1.25,3.58,2.5300000000000002,21.77
14.27,1.23,3.52,2.45,21.47
13.3,1.29,3.87,2.23,20.69
12.89,1.26,3.63,2.27,20.05
